model,layer,has_pie,img_attention,inst_attention,sys_attention,out_attention,error
llava-v1.5-7b,1,True,0.196,0.469,0.335,0.000,
llava-v1.5-7b,2,True,0.049,0.367,0.585,0.000,
llava-v1.5-7b,3,True,0.008,0.022,0.970,0.000,
llava-v1.5-7b,4,True,0.005,0.022,0.973,0.000,
llava-v1.5-7b,5,True,0.004,0.031,0.965,0.000,
llava-v1.5-7b,6,True,0.004,0.037,0.959,0.000,
llava-v1.5-7b,7,True,0.004,0.034,0.962,0.000,
llava-v1.5-7b,8,True,0.004,0.041,0.954,0.000,
llava-v1.5-7b,9,True,0.004,0.051,0.945,0.000,
llava-v1.5-7b,10,True,0.004,0.069,0.927,0.000,
llava-v1.5-7b,11,True,0.005,0.093,0.902,0.000,
llava-v1.5-7b,12,True,0.006,0.073,0.921,0.000,
llava-v1.5-7b,13,True,0.005,0.085,0.910,0.000,
llava-v1.5-7b,14,True,0.005,0.083,0.912,0.000,
llava-v1.5-7b,15,True,0.007,0.096,0.896,0.000,
llava-v1.5-7b,16,True,0.006,0.098,0.896,0.000,
llava-v1.5-7b,17,True,0.006,0.088,0.906,0.000,
llava-v1.5-7b,18,True,0.005,0.052,0.943,0.000,
llava-v1.5-7b,19,True,0.005,0.047,0.948,0.000,
llava-v1.5-7b,20,True,0.005,0.046,0.949,0.000,
llava-v1.5-7b,21,True,0.005,0.040,0.955,0.000,
llava-v1.5-7b,22,True,0.004,0.024,0.972,0.000,
llava-v1.5-7b,23,True,0.004,0.027,0.969,0.000,
llava-v1.5-7b,24,True,0.003,0.029,0.968,0.000,
llava-v1.5-7b,25,True,0.004,0.027,0.969,0.000,
llava-v1.5-7b,26,True,0.003,0.013,0.983,0.000,
llava-v1.5-7b,27,True,0.004,0.033,0.964,0.000,
llava-v1.5-7b,28,True,0.002,0.023,0.974,0.000,
llava-v1.5-7b,29,True,0.003,0.020,0.978,0.000,
llava-v1.5-7b,30,True,0.004,0.030,0.966,0.000,
llava-v1.5-7b,31,True,0.003,0.026,0.971,0.000,
llava-v1.5-7b,32,True,0.009,0.082,0.909,0.000,
llava-v1.6-vicuna-7b,1,True,0.204,0.481,0.315,0.000,
llava-v1.6-vicuna-7b,2,True,0.040,0.262,0.699,0.000,
llava-v1.6-vicuna-7b,3,True,0.002,0.014,0.984,0.000,
llava-v1.6-vicuna-7b,4,True,0.002,0.012,0.986,0.000,
llava-v1.6-vicuna-7b,5,True,0.002,0.016,0.982,0.000,
llava-v1.6-vicuna-7b,6,True,0.002,0.020,0.978,0.000,
llava-v1.6-vicuna-7b,7,True,0.002,0.020,0.978,0.000,
llava-v1.6-vicuna-7b,8,True,0.002,0.019,0.979,0.000,
llava-v1.6-vicuna-7b,9,True,0.002,0.027,0.971,0.000,
llava-v1.6-vicuna-7b,10,True,0.002,0.033,0.965,0.000,
llava-v1.6-vicuna-7b,11,True,0.002,0.045,0.952,0.000,
llava-v1.6-vicuna-7b,12,True,0.002,0.032,0.965,0.000,
llava-v1.6-vicuna-7b,13,True,0.002,0.044,0.954,0.000,
llava-v1.6-vicuna-7b,14,True,0.002,0.038,0.960,0.000,
llava-v1.6-vicuna-7b,15,True,0.003,0.046,0.951,0.000,
llava-v1.6-vicuna-7b,16,True,0.002,0.046,0.952,0.000,
llava-v1.6-vicuna-7b,17,True,0.002,0.038,0.959,0.000,
llava-v1.6-vicuna-7b,18,True,0.002,0.031,0.966,0.000,
llava-v1.6-vicuna-7b,19,True,0.002,0.024,0.974,0.000,
llava-v1.6-vicuna-7b,20,True,0.002,0.026,0.972,0.000,
llava-v1.6-vicuna-7b,21,True,0.002,0.019,0.979,0.000,
llava-v1.6-vicuna-7b,22,True,0.002,0.012,0.986,0.000,
llava-v1.6-vicuna-7b,23,True,0.002,0.014,0.984,0.000,
llava-v1.6-vicuna-7b,24,True,0.002,0.014,0.985,0.000,
llava-v1.6-vicuna-7b,25,True,0.002,0.014,0.985,0.000,
llava-v1.6-vicuna-7b,26,True,0.002,0.010,0.988,0.000,
llava-v1.6-vicuna-7b,27,True,0.002,0.016,0.982,0.000,
llava-v1.6-vicuna-7b,28,True,0.001,0.012,0.987,0.000,
llava-v1.6-vicuna-7b,29,True,0.001,0.012,0.987,0.000,
llava-v1.6-vicuna-7b,30,True,0.002,0.016,0.982,0.000,
llava-v1.6-vicuna-7b,31,True,0.002,0.014,0.984,0.000,
llava-v1.6-vicuna-7b,32,True,0.003,0.048,0.948,0.000,
chameleon,0,False,,,,,No pie chart
chameleon,1,False,,,,,No pie chart
chameleon,2,False,,,,,No pie chart
chameleon,3,False,,,,,No pie chart
chameleon,4,False,,,,,No pie chart
chameleon,5,False,,,,,No pie chart
chameleon,6,False,,,,,No pie chart
chameleon,7,False,,,,,No pie chart
chameleon,8,False,,,,,No pie chart
chameleon,9,False,,,,,No pie chart
chameleon,10,False,,,,,No pie chart
chameleon,11,False,,,,,No pie chart
chameleon,12,False,,,,,No pie chart
chameleon,13,False,,,,,No pie chart
chameleon,14,False,,,,,No pie chart
chameleon,15,False,,,,,No pie chart
chameleon,16,False,,,,,No pie chart
chameleon,17,False,,,,,No pie chart
chameleon,18,False,,,,,No pie chart
chameleon,19,False,,,,,No pie chart
chameleon,20,False,,,,,No pie chart
chameleon,21,False,,,,,No pie chart
chameleon,22,False,,,,,No pie chart
chameleon,23,False,,,,,No pie chart
chameleon,24,False,,,,,No pie chart
chameleon,25,False,,,,,No pie chart
chameleon,26,False,,,,,No pie chart
chameleon,27,False,,,,,No pie chart
chameleon,28,False,,,,,No pie chart
chameleon,29,False,,,,,No pie chart
chameleon,30,False,,,,,No pie chart
chameleon,31,False,,,,,No pie chart
qwen2-VL-7B-Instruct,1,True,0.039,0.625,0.336,0.000,
qwen2-VL-7B-Instruct,2,True,0.058,0.504,0.438,0.000,
qwen2-VL-7B-Instruct,3,True,0.036,0.282,0.682,0.000,
qwen2-VL-7B-Instruct,4,True,0.041,0.502,0.457,0.000,
qwen2-VL-7B-Instruct,5,True,0.004,0.028,0.968,0.000,
qwen2-VL-7B-Instruct,6,True,0.005,0.037,0.958,0.000,
qwen2-VL-7B-Instruct,7,True,0.005,0.062,0.933,0.000,
qwen2-VL-7B-Instruct,8,True,0.007,0.078,0.915,0.000,
qwen2-VL-7B-Instruct,9,True,0.007,0.056,0.937,0.000,
qwen2-VL-7B-Instruct,10,True,0.015,0.089,0.896,0.000,
qwen2-VL-7B-Instruct,11,True,0.007,0.066,0.928,0.000,
qwen2-VL-7B-Instruct,12,True,0.008,0.078,0.914,0.000,
qwen2-VL-7B-Instruct,13,True,0.010,0.094,0.896,0.000,
qwen2-VL-7B-Instruct,14,True,0.013,0.126,0.861,0.000,
qwen2-VL-7B-Instruct,15,True,0.015,0.076,0.908,0.000,
qwen2-VL-7B-Instruct,16,True,0.008,0.099,0.893,0.000,
qwen2-VL-7B-Instruct,17,True,0.010,0.097,0.892,0.000,
qwen2-VL-7B-Instruct,18,True,0.008,0.099,0.893,0.000,
qwen2-VL-7B-Instruct,19,True,0.008,0.134,0.857,0.000,
qwen2-VL-7B-Instruct,20,True,0.025,0.149,0.827,0.000,
qwen2-VL-7B-Instruct,21,True,0.015,0.112,0.874,0.000,
qwen2-VL-7B-Instruct,22,True,0.016,0.084,0.900,0.000,
qwen2-VL-7B-Instruct,23,True,0.014,0.054,0.933,0.000,
qwen2-VL-7B-Instruct,24,True,0.009,0.055,0.936,0.000,
llava-v1.6-mistral-7b,1,True,0.006,0.010,0.983,0.000,
llava-v1.6-mistral-7b,2,True,0.002,0.005,0.993,0.000,
llava-v1.6-mistral-7b,3,True,0.001,0.004,0.995,0.000,
llava-v1.6-mistral-7b,4,True,0.001,0.004,0.995,0.000,
llava-v1.6-mistral-7b,5,True,0.001,0.005,0.994,0.000,
llava-v1.6-mistral-7b,6,True,0.001,0.006,0.993,0.000,
llava-v1.6-mistral-7b,7,True,0.001,0.006,0.993,0.000,
llava-v1.6-mistral-7b,8,True,0.001,0.007,0.991,0.000,
llava-v1.6-mistral-7b,9,True,0.001,0.009,0.989,0.000,
llava-v1.6-mistral-7b,10,True,0.001,0.007,0.991,0.000,
llava-v1.6-mistral-7b,11,True,0.001,0.012,0.986,0.000,
llava-v1.6-mistral-7b,12,True,0.001,0.012,0.987,0.000,
llava-v1.6-mistral-7b,13,True,0.001,0.010,0.988,0.000,
llava-v1.6-mistral-7b,14,True,0.001,0.018,0.981,0.000,
llava-v1.6-mistral-7b,15,True,0.001,0.014,0.985,0.000,
llava-v1.6-mistral-7b,16,True,0.001,0.011,0.988,0.000,
llava-v1.6-mistral-7b,17,True,0.001,0.011,0.988,0.000,
llava-v1.6-mistral-7b,18,True,0.001,0.013,0.986,0.000,
llava-v1.6-mistral-7b,19,True,0.001,0.011,0.988,0.000,
llava-v1.6-mistral-7b,20,True,0.001,0.008,0.991,0.000,
llava-v1.6-mistral-7b,21,True,0.001,0.006,0.993,0.000,
llava-v1.6-mistral-7b,22,True,0.001,0.006,0.993,0.000,
llava-v1.6-mistral-7b,23,True,0.001,0.005,0.994,0.000,
llava-v1.6-mistral-7b,24,True,0.001,0.005,0.994,0.000,
llava-v1.6-mistral-7b,25,True,0.001,0.004,0.995,0.000,
llava-v1.6-mistral-7b,26,True,0.001,0.003,0.996,0.000,
llava-v1.6-mistral-7b,27,True,0.001,0.004,0.995,0.000,
llava-v1.6-mistral-7b,28,True,0.001,0.004,0.995,0.000,
llava-v1.6-mistral-7b,29,True,0.001,0.007,0.992,0.000,
llava-v1.6-mistral-7b,30,True,0.001,0.006,0.993,0.000,
llava-v1.6-mistral-7b,31,True,0.001,0.010,0.989,0.000,
llava-v1.6-mistral-7b,32,True,0.001,0.012,0.987,0.000,
bunny-stablelm2-siglip,1,True,0.023,0.780,0.197,0.000,
bunny-stablelm2-siglip,2,True,0.005,0.817,0.178,0.000,
bunny-stablelm2-siglip,3,True,0.008,0.957,0.034,0.000,
bunny-stablelm2-siglip,4,True,0.015,0.951,0.034,0.000,
bunny-stablelm2-siglip,5,True,0.019,0.945,0.035,0.000,
bunny-stablelm2-siglip,6,True,0.026,0.925,0.049,0.000,
bunny-stablelm2-siglip,7,True,0.002,0.244,0.754,0.000,
bunny-stablelm2-siglip,8,True,0.003,0.246,0.751,0.000,
bunny-stablelm2-siglip,9,True,0.003,0.173,0.823,0.000,
bunny-stablelm2-siglip,10,True,0.004,0.251,0.745,0.000,
bunny-stablelm2-siglip,11,True,0.002,0.241,0.756,0.000,
bunny-stablelm2-siglip,12,True,0.004,0.220,0.776,0.000,
bunny-stablelm2-siglip,13,True,0.004,0.201,0.796,0.000,
bunny-stablelm2-siglip,14,True,0.004,0.244,0.752,0.000,
bunny-stablelm2-siglip,15,True,0.004,0.274,0.721,0.000,
bunny-stablelm2-siglip,16,True,0.004,0.162,0.833,0.000,
bunny-stablelm2-siglip,17,True,0.005,0.108,0.886,0.000,
bunny-stablelm2-siglip,18,True,0.003,0.247,0.749,0.000,
bunny-stablelm2-siglip,19,True,0.003,0.263,0.734,0.000,
bunny-stablelm2-siglip,20,True,0.006,0.219,0.776,0.000,
bunny-stablelm2-siglip,21,True,0.005,0.211,0.784,0.000,
bunny-stablelm2-siglip,22,True,0.006,0.214,0.780,0.000,
bunny-stablelm2-siglip,23,True,0.006,0.362,0.632,0.000,
bunny-stablelm2-siglip,24,True,0.005,0.546,0.450,0.000,
bunny-stablelm2-eva,1,True,0.027,0.690,0.283,0.000,
bunny-stablelm2-eva,2,True,0.006,0.692,0.303,0.000,
bunny-stablelm2-eva,3,True,0.006,0.873,0.122,0.000,
bunny-stablelm2-eva,4,True,0.005,0.922,0.073,0.000,
bunny-stablelm2-eva,5,True,0.006,0.936,0.058,0.000,
bunny-stablelm2-eva,6,True,0.006,0.869,0.125,0.000,
bunny-stablelm2-eva,7,True,0.003,0.193,0.805,0.000,
bunny-stablelm2-eva,8,True,0.003,0.197,0.800,0.000,
bunny-stablelm2-eva,9,True,0.003,0.139,0.858,0.000,
bunny-stablelm2-eva,10,True,0.005,0.209,0.786,0.000,
bunny-stablelm2-eva,11,True,0.002,0.203,0.795,0.000,
bunny-stablelm2-eva,12,True,0.003,0.184,0.813,0.000,
bunny-stablelm2-eva,13,True,0.003,0.176,0.821,0.000,
bunny-stablelm2-eva,14,True,0.003,0.191,0.807,0.000,
bunny-stablelm2-eva,15,True,0.005,0.228,0.767,0.000,
bunny-stablelm2-eva,16,True,0.003,0.145,0.852,0.000,
bunny-stablelm2-eva,17,True,0.004,0.096,0.900,0.000,
bunny-stablelm2-eva,18,True,0.003,0.150,0.846,0.000,
bunny-stablelm2-eva,19,True,0.003,0.115,0.882,0.000,
bunny-stablelm2-eva,20,True,0.003,0.072,0.925,0.000,
bunny-stablelm2-eva,21,True,0.002,0.071,0.926,0.000,
bunny-stablelm2-eva,22,True,0.003,0.080,0.917,0.000,
bunny-stablelm2-eva,23,True,0.003,0.215,0.782,0.000,
bunny-stablelm2-eva,24,True,0.003,0.401,0.596,0.000,
idefics2,1,True,0.118,0.541,0.341,0.000,
idefics2,2,True,0.008,0.120,0.871,0.000,
idefics2,3,True,0.005,0.055,0.940,0.000,
idefics2,4,True,0.006,0.077,0.918,0.000,
idefics2,5,True,0.005,0.069,0.926,0.000,
idefics2,6,True,0.006,0.095,0.900,0.000,
idefics2,7,True,0.006,0.106,0.888,0.000,
idefics2,8,True,0.010,0.139,0.851,0.000,
idefics2,9,True,0.009,0.179,0.812,0.000,
idefics2,10,True,0.014,0.132,0.854,0.000,
idefics2,11,True,0.010,0.239,0.751,0.000,
idefics2,12,True,0.008,0.208,0.784,0.000,
idefics2,13,True,0.011,0.203,0.786,0.000,
idefics2,14,True,0.007,0.326,0.666,0.000,
idefics2,15,True,0.006,0.249,0.746,0.000,
idefics2,16,True,0.009,0.224,0.767,0.000,
idefics2,17,True,0.007,0.216,0.776,0.000,
idefics2,18,True,0.005,0.240,0.755,0.000,
idefics2,19,True,0.007,0.197,0.795,0.000,
idefics2,20,True,0.009,0.153,0.838,0.000,
idefics2,21,True,0.005,0.106,0.889,0.000,
idefics2,22,True,0.005,0.115,0.880,0.000,
idefics2,23,True,0.003,0.069,0.928,0.000,
idefics2,24,True,0.003,0.121,0.876,0.000,
idefics2,25,True,0.003,0.064,0.933,0.000,
idefics2,26,True,0.003,0.047,0.950,0.000,
idefics2,27,True,0.002,0.076,0.922,0.000,
idefics2,28,True,0.002,0.087,0.910,0.000,
idefics2,29,True,0.003,0.119,0.877,0.000,
idefics2,30,True,0.004,0.107,0.889,0.000,
idefics2,31,True,0.004,0.191,0.805,0.000,
idefics2,32,True,0.008,0.205,0.786,0.000,
qwen2-VL-2B-Instruct,1,True,0.027,0.733,0.241,0.000,
qwen2-VL-2B-Instruct,2,True,0.034,0.747,0.219,0.000,
qwen2-VL-2B-Instruct,3,True,0.006,0.085,0.909,0.000,
qwen2-VL-2B-Instruct,4,True,0.014,0.121,0.865,0.000,
qwen2-VL-2B-Instruct,5,True,0.013,0.110,0.877,0.000,
qwen2-VL-2B-Instruct,6,True,0.007,0.061,0.933,0.000,
qwen2-VL-2B-Instruct,7,True,0.006,0.066,0.928,0.000,
qwen2-VL-2B-Instruct,8,True,0.010,0.096,0.894,0.000,
qwen2-VL-2B-Instruct,9,True,0.004,0.149,0.847,0.000,
qwen2-VL-2B-Instruct,10,True,0.004,0.060,0.936,0.000,
qwen2-VL-2B-Instruct,11,True,0.014,0.111,0.876,0.000,
qwen2-VL-2B-Instruct,12,True,0.013,0.173,0.814,0.000,
qwen2-VL-2B-Instruct,13,True,0.015,0.180,0.805,0.000,
qwen2-VL-2B-Instruct,14,True,0.011,0.201,0.788,0.000,
qwen2-VL-2B-Instruct,15,True,0.008,0.053,0.939,0.000,
qwen2-VL-2B-Instruct,16,True,0.008,0.135,0.857,0.000,
qwen2-VL-2B-Instruct,17,True,0.018,0.282,0.700,0.000,
qwen2-VL-2B-Instruct,18,True,0.011,0.103,0.886,0.000,
qwen2-VL-2B-Instruct,19,True,0.004,0.132,0.865,0.000,
qwen2-VL-2B-Instruct,20,True,0.015,0.088,0.897,0.000,
qwen2-VL-2B-Instruct,21,True,0.020,0.090,0.890,0.000,
qwen2-VL-2B-Instruct,22,True,0.028,0.092,0.879,0.000,
qwen2-VL-2B-Instruct,23,True,0.007,0.024,0.969,0.000,
qwen2-VL-2B-Instruct,24,True,0.010,0.061,0.929,0.000,
bunny-phi2-siglip,1,True,0.011,0.926,0.063,0.000,
bunny-phi2-siglip,2,True,0.012,0.570,0.418,0.000,
bunny-phi2-siglip,3,True,0.006,0.221,0.772,0.000,
bunny-phi2-siglip,4,True,0.004,0.095,0.901,0.000,
bunny-phi2-siglip,5,True,0.004,0.125,0.871,0.000,
bunny-phi2-siglip,6,True,0.005,0.158,0.837,0.000,
bunny-phi2-siglip,7,True,0.006,0.135,0.859,0.000,
bunny-phi2-siglip,8,True,0.006,0.147,0.847,0.000,
bunny-phi2-siglip,9,True,0.005,0.107,0.888,0.000,
bunny-phi2-siglip,10,True,0.006,0.116,0.878,0.000,
bunny-phi2-siglip,11,True,0.007,0.202,0.791,0.000,
bunny-phi2-siglip,12,True,0.007,0.171,0.822,0.000,
bunny-phi2-siglip,13,True,0.008,0.207,0.785,0.000,
bunny-phi2-siglip,14,True,0.011,0.222,0.767,0.000,
bunny-phi2-siglip,15,True,0.009,0.192,0.799,0.000,
bunny-phi2-siglip,16,True,0.008,0.209,0.783,0.000,
bunny-phi2-siglip,17,True,0.010,0.175,0.815,0.000,
bunny-phi2-siglip,18,True,0.012,0.218,0.769,0.000,
bunny-phi2-siglip,19,True,0.012,0.172,0.816,0.000,
bunny-phi2-siglip,20,True,0.011,0.179,0.809,0.000,
bunny-phi2-siglip,21,True,0.015,0.197,0.788,0.000,
bunny-phi2-siglip,22,True,0.011,0.123,0.865,0.000,
bunny-phi2-siglip,23,True,0.016,0.096,0.889,0.000,
bunny-phi2-siglip,24,True,0.008,0.161,0.831,0.000,
bunny-phi2-siglip,25,True,0.009,0.048,0.943,0.000,
bunny-phi2-siglip,26,True,0.009,0.097,0.894,0.000,
bunny-phi2-siglip,27,True,0.005,0.077,0.917,0.000,
bunny-phi2-siglip,28,True,0.009,0.082,0.909,0.000,
bunny-phi2-siglip,29,True,0.008,0.102,0.890,0.000,
bunny-phi2-siglip,30,True,0.001,0.027,0.972,0.000,
bunny-phi2-siglip,31,True,0.003,0.136,0.861,0.000,
bunny-phi2-siglip,32,True,0.004,0.038,0.958,0.000,
bunny-phi2-eva,1,True,0.009,0.920,0.070,0.000,
bunny-phi2-eva,2,True,0.009,0.625,0.366,0.000,
bunny-phi2-eva,3,True,0.006,0.248,0.747,0.000,
bunny-phi2-eva,4,True,0.004,0.103,0.893,0.000,
bunny-phi2-eva,5,True,0.004,0.138,0.859,0.000,
bunny-phi2-eva,6,True,0.005,0.174,0.821,0.000,
bunny-phi2-eva,7,True,0.005,0.161,0.833,0.000,
bunny-phi2-eva,8,True,0.007,0.178,0.816,0.000,
bunny-phi2-eva,9,True,0.006,0.122,0.873,0.000,
bunny-phi2-eva,10,True,0.008,0.125,0.868,0.000,
bunny-phi2-eva,11,True,0.008,0.213,0.779,0.000,
bunny-phi2-eva,12,True,0.008,0.178,0.814,0.000,
bunny-phi2-eva,13,True,0.009,0.212,0.779,0.000,
bunny-phi2-eva,14,True,0.012,0.229,0.759,0.000,
bunny-phi2-eva,15,True,0.010,0.211,0.779,0.000,
bunny-phi2-eva,16,True,0.008,0.204,0.788,0.000,
bunny-phi2-eva,17,True,0.013,0.196,0.792,0.000,
bunny-phi2-eva,18,True,0.013,0.245,0.741,0.000,
bunny-phi2-eva,19,True,0.016,0.185,0.799,0.000,
bunny-phi2-eva,20,True,0.014,0.184,0.802,0.000,
bunny-phi2-eva,21,True,0.018,0.188,0.794,0.000,
bunny-phi2-eva,22,True,0.012,0.121,0.866,0.000,
bunny-phi2-eva,23,True,0.017,0.110,0.873,0.000,
bunny-phi2-eva,24,True,0.013,0.185,0.803,0.000,
bunny-phi2-eva,25,True,0.010,0.051,0.939,0.000,
bunny-phi2-eva,26,True,0.009,0.114,0.877,0.000,
bunny-phi2-eva,27,True,0.006,0.089,0.905,0.000,
bunny-phi2-eva,28,True,0.010,0.100,0.891,0.000,
bunny-phi2-eva,29,True,0.008,0.116,0.877,0.000,
bunny-phi2-eva,30,True,0.002,0.025,0.973,0.000,
bunny-phi2-eva,31,True,0.016,0.148,0.836,0.000,
bunny-phi2-eva,32,True,0.007,0.032,0.961,0.000,
llava-phi2,1,True,0.346,0.206,0.448,0.000,
llava-phi2,2,True,0.272,0.211,0.517,0.000,
llava-phi2,3,True,0.368,0.209,0.423,0.000,
llava-phi2,4,True,0.454,0.232,0.314,0.000,
llava-phi2,5,True,0.417,0.211,0.373,0.000,
llava-phi2,6,True,0.368,0.176,0.456,0.000,
llava-phi2,7,True,0.367,0.161,0.471,0.000,
llava-phi2,8,True,0.347,0.168,0.485,0.000,
llava-phi2,9,True,0.355,0.132,0.514,0.000,
llava-phi2,10,True,0.333,0.151,0.517,0.000,
llava-phi2,11,True,0.247,0.276,0.478,0.000,
llava-phi2,12,True,0.255,0.297,0.448,0.000,
llava-phi2,13,True,0.259,0.353,0.389,0.000,
llava-phi2,14,True,0.255,0.369,0.376,0.000,
llava-phi2,15,True,0.295,0.301,0.404,0.000,
llava-phi2,16,True,0.233,0.454,0.313,0.000,
llava-phi2,17,True,0.265,0.377,0.358,0.000,
llava-phi2,18,True,0.290,0.374,0.336,0.000,
llava-phi2,19,True,0.341,0.282,0.377,0.000,
llava-phi2,20,True,0.388,0.208,0.403,0.000,
llava-phi2,21,True,0.386,0.194,0.420,0.000,
llava-phi2,22,True,0.396,0.182,0.422,0.000,
llava-phi2,23,True,0.400,0.172,0.428,0.000,
llava-phi2,24,True,0.402,0.172,0.426,0.000,
bunny-phi1.5-siglip,1,True,0.018,0.959,0.022,0.000,
bunny-phi1.5-siglip,2,True,0.018,0.532,0.451,0.000,
bunny-phi1.5-siglip,3,True,0.027,0.288,0.684,0.000,
bunny-phi1.5-siglip,4,True,0.038,0.253,0.710,0.000,
bunny-phi1.5-siglip,5,True,0.031,0.232,0.737,0.000,
bunny-phi1.5-siglip,6,True,0.030,0.216,0.753,0.000,
bunny-phi1.5-siglip,7,True,0.030,0.227,0.743,0.000,
bunny-phi1.5-siglip,8,True,0.029,0.242,0.729,0.000,
bunny-phi1.5-siglip,9,True,0.028,0.273,0.700,0.000,
bunny-phi1.5-siglip,10,True,0.030,0.319,0.651,0.000,
bunny-phi1.5-siglip,11,True,0.030,0.261,0.708,0.000,
bunny-phi1.5-siglip,12,True,0.028,0.276,0.696,0.000,
bunny-phi1.5-siglip,13,True,0.032,0.260,0.708,0.000,
bunny-phi1.5-siglip,14,True,0.032,0.255,0.713,0.000,
bunny-phi1.5-siglip,15,True,0.036,0.263,0.701,0.000,
bunny-phi1.5-siglip,16,True,0.038,0.274,0.687,0.000,
bunny-phi1.5-siglip,17,True,0.043,0.169,0.788,0.000,
bunny-phi1.5-siglip,18,True,0.039,0.181,0.780,0.000,
bunny-phi1.5-siglip,19,True,0.040,0.163,0.797,0.000,
bunny-phi1.5-siglip,20,True,0.039,0.157,0.803,0.000,
bunny-phi1.5-siglip,21,True,0.034,0.153,0.813,0.000,
bunny-phi1.5-siglip,22,True,0.027,0.191,0.782,0.000,
bunny-phi1.5-siglip,23,True,0.027,0.293,0.679,0.000,
bunny-phi1.5-siglip,24,True,0.023,0.260,0.717,0.000,
llava-v1.5-vicuna-7b,1,True,0.204,0.451,0.345,0.000,
llava-v1.5-vicuna-7b,2,True,0.050,0.344,0.606,0.000,
llava-v1.5-vicuna-7b,3,True,0.008,0.020,0.973,0.000,
llava-v1.5-vicuna-7b,4,True,0.005,0.019,0.976,0.000,
llava-v1.5-vicuna-7b,5,True,0.004,0.026,0.970,0.000,
llava-v1.5-vicuna-7b,6,True,0.004,0.032,0.965,0.000,
llava-v1.5-vicuna-7b,7,True,0.004,0.030,0.966,0.000,
llava-v1.5-vicuna-7b,8,True,0.004,0.037,0.959,0.000,
llava-v1.5-vicuna-7b,9,True,0.004,0.045,0.951,0.000,
llava-v1.5-vicuna-7b,10,True,0.004,0.060,0.936,0.000,
llava-v1.5-vicuna-7b,11,True,0.005,0.086,0.909,0.000,
llava-v1.5-vicuna-7b,12,True,0.006,0.068,0.927,0.000,
llava-v1.5-vicuna-7b,13,True,0.005,0.080,0.916,0.000,
llava-v1.5-vicuna-7b,14,True,0.005,0.075,0.920,0.000,
llava-v1.5-vicuna-7b,15,True,0.007,0.092,0.901,0.000,
llava-v1.5-vicuna-7b,16,True,0.006,0.094,0.900,0.000,
llava-v1.5-vicuna-7b,17,True,0.006,0.077,0.917,0.000,
llava-v1.5-vicuna-7b,18,True,0.005,0.052,0.942,0.000,
llava-v1.5-vicuna-7b,19,True,0.005,0.043,0.952,0.000,
llava-v1.5-vicuna-7b,20,True,0.005,0.045,0.950,0.000,
llava-v1.5-vicuna-7b,21,True,0.005,0.036,0.959,0.000,
llava-v1.5-vicuna-7b,22,True,0.004,0.022,0.974,0.000,
llava-v1.5-vicuna-7b,23,True,0.004,0.024,0.971,0.000,
llava-v1.5-vicuna-7b,24,True,0.003,0.026,0.970,0.000,
llava-v1.5-vicuna-7b,25,True,0.004,0.025,0.971,0.000,
llava-v1.5-vicuna-7b,26,True,0.003,0.013,0.983,0.000,
llava-v1.5-vicuna-7b,27,True,0.004,0.030,0.967,0.000,
llava-v1.5-vicuna-7b,28,True,0.002,0.020,0.977,0.000,
llava-v1.5-vicuna-7b,29,True,0.003,0.019,0.979,0.000,
llava-v1.5-vicuna-7b,30,True,0.004,0.027,0.969,0.000,
llava-v1.5-vicuna-7b,31,True,0.003,0.025,0.973,0.000,
llava-v1.5-vicuna-7b,32,True,0.009,0.083,0.908,0.000,
bunny-phi1.5-eva,1,True,0.025,0.941,0.034,0.000,
bunny-phi1.5-eva,2,True,0.015,0.326,0.659,0.000,
bunny-phi1.5-eva,3,True,0.007,0.136,0.857,0.000,
bunny-phi1.5-eva,4,True,0.011,0.129,0.860,0.000,
bunny-phi1.5-eva,5,True,0.007,0.120,0.873,0.000,
bunny-phi1.5-eva,6,True,0.008,0.122,0.870,0.000,
bunny-phi1.5-eva,7,True,0.008,0.114,0.878,0.000,
bunny-phi1.5-eva,8,True,0.008,0.135,0.857,0.000,
bunny-phi1.5-eva,9,True,0.008,0.150,0.842,0.000,
bunny-phi1.5-eva,10,True,0.011,0.171,0.818,0.000,
bunny-phi1.5-eva,11,True,0.011,0.147,0.843,0.000,
bunny-phi1.5-eva,12,True,0.010,0.156,0.834,0.000,
bunny-phi1.5-eva,13,True,0.012,0.133,0.856,0.000,
bunny-phi1.5-eva,14,True,0.013,0.150,0.837,0.000,
bunny-phi1.5-eva,15,True,0.014,0.138,0.848,0.000,
bunny-phi1.5-eva,16,True,0.015,0.140,0.845,0.000,
bunny-phi1.5-eva,17,True,0.016,0.086,0.898,0.000,
bunny-phi1.5-eva,18,True,0.016,0.087,0.898,0.000,
bunny-phi1.5-eva,19,True,0.014,0.082,0.904,0.000,
bunny-phi1.5-eva,20,True,0.012,0.073,0.915,0.000,
bunny-phi1.5-eva,21,True,0.009,0.068,0.923,0.000,
bunny-phi1.5-eva,22,True,0.007,0.085,0.908,0.000,
bunny-phi1.5-eva,23,True,0.009,0.125,0.867,0.000,
bunny-phi1.5-eva,24,True,0.005,0.116,0.879,0.000,
